Brand,Title,Info,Price,Price Before Discount,Discount,Stock
LENOVO,LENOVO DESKTOP TW IDEACENTRE 5 14IAB7 90T3005NTA,Intel Core i5-12400 | RAM 8GB | SSD 512GB | Intel UHD Graphics 730 | Windows 11,19990,,,
LENOVO,LENOVO DESKTOP TW IDEACENTRE 5 14IAB7 90T3005LTA,Intel Core i3-12100 | RAM 8GB | SSD 256GB | Intel UHD Graphics 730 | Windows 11,15990,,1500,Out of stock
LENOVO,LENOVO DESKTOP TW IDEACENTRE 5 14IOB6-90RJ007NTA,Intel Core i5-11400 | RAM 8GB | HDD 1TB | Integrated Intel UHD Graphics 730 | Windows 11,16990,,2000,Out of stock
LENOVO,LENOVO DESKTOP TW LEGION T5I 26IAB7-90SV003DTL,Intel Core i5-12400F | RAM 16GB | SSD 512GB | NVIDIA GeForce RTX 3060 Ti | Windows 11 Home,49990,,,Out of stock
ACER,ACER DESKTOP TW Aspire TC-1150-R58G1T00MGi/T003 (A),AMD Ryzen 5 5600G | RAM 8GB | SSD 256GB +1TB 3.5-inch 7200 RPM | NVIDIA GeForce GTX 1650 | Windows 10 Home,26990,,1000,Out of stock
ACER,ACER DESKTOP TW ASPIRE TC-1660-1148G1T0MGi/T005,Intel Core i5-11400 | RAM 8GB | HDD 1TB | NVIDIA GeForce GT 730 | Windows 10 Home 64-bit,18990,,1510,Out of stock
ACER,ACER DESKTOP TW ASPIRE TC-1660-1148G1T0Mi/T006,Intel Core i5-11400 | RAM 8GB | HDD 1TB | Intel HD Graphics | Windows 10 Home 64-bit,18990,,,Out of stock
ACER,ACER DESKTOP TW ASPIRE TC-1660-1178G2T0Mi/T007,Intel Core i7-11700 | RAM 8GB | HDD 2TB | Intel HD Graphics | Windows 10 Home 64-bit,17990,,7000,Out of stock
ACER,ACER DESKTOP TW Nitro N50-120-R5516G0TMGi/T001,AMD Ryzen 5 5600G | RAM 16GB | SSD 512GB | NVIDIA GeForce GTX 1660 SUPER | Windows 10 Home,32990,,,Unavailable
ACER,ACER DESKTOP TW NITRO N50-620-11716G0TMGI/T009,Intel Core i7-11700 | RAM 16GB | SSD 512GB | NVIDIA GeForce GTX 1660 SUPER | Windows 11 Home,29990,,9000,Out of stock
ACER,ACER DESKTOP TW Nitro N50-640-12F16G0TMGi/T004,Intel Core i5-12400F | RAM 16GB | SSD 512GB | NVIDIA GeForce GTX 1660 SUPER | Windows 11,29990,,4000,
ASUS,ASUS DESKTOP TW ROG G15 G15CF-51240F036W BLACK,Intel Core i5-12400F | RAM 16GB | SSD 1TB | NVIDIA GeForce RTX3060 | Windows 11 Home,35990,,14000,Unavailable
ASUS,ASUS DESKTOP TW ROG G15 G15CF-71270F015W,Intel Core i7-12700F | RAM 16GB | SSD 1TB | NVIDIA GeForce RTX 3070 | Windows 11 Home,52990,,10000,Out of stock
